date,open_btc,high_btc,low_btc,close_btc,volume_btc,%var_btc,open_sp,high_sp,low_sp,close_sp,volume_sp,%var_sp,close_gd,open_gd,high_gd,low_gd,volume_gd,%var_gd
2011-03-22,0.77908522,0.99417642,0.75892603,0.79554092,12109,2.11,1298.29,1299.35,1292.7,1293.77,3576550000,-0.35,1.4276,1.4273,1.4323,1.4195,12476000,0.08
2011-03-23,0.79554511,0.85373246,0.7471475,0.84075331,13257,5.68,1292.19,1300.51,1284.05,1297.54,3842350000,0.41,1.438,1.4289,1.4412,1.4258,13833000,0.73
2011-03-24,0.84060031,0.86877348,0.71520718,0.86459955,13983,2.86,1300.61,1311.34,1297.74,1309.66,4223740000,0.7,1.4349,1.438,1.4486,1.4237,18709000,-0.22
2011-03-25,0.86450759,0.95109578,0.76933305,0.8994632,4814,4.04,1311.8,1319.18,1310.15,1313.8,4223740000,0.15,1.4262,1.4335,1.4381,1.422,18274000,-0.61
2011-03-28,0.88722045,1.09275459,0.84995645,0.87429308,12616,-1.46,1315.45,1319.74,1310.19,1310.19,3215170000,-0.4,1.4199,1.4285,1.43,1.4101,17888000,-0.44
2011-03-29,0.87510185,1.01081902,0.8090654,0.81965314,4216,-6.34,1309.37,1319.45,1305.26,1319.44,3482580000,0.77,1.4162,1.421,1.4235,1.411,13579000,-0.26
2011-03-30,0.81913814,0.84969588,0.72203584,0.79899568,3219,-2.46,1321.89,1331.74,1321.89,1328.26,3809570000,0.48,1.4249,1.4202,1.4317,1.4131,16022000,0.61
2011-03-31,0.79902333,0.9813328,0.7708485,0.79093751,6886,-1.01,1327.44,1329.77,1325.03,1325.83,3566270000,-0.12,1.4399,1.4244,1.441,1.4217,12931000,1.05
2011-04-01,0.79077113,0.80715213,0.64199323,0.7789159,3195,-1.5,1329.48,1337.85,1328.89,1332.41,4223740000,0.22,1.4289,1.4338,1.4378,1.4135,16528000,-0.76
2011-04-04,0.78913511,0.78913511,0.59608727,0.71520883,31150,-9.37,1333.56,1336.74,1329.1,1332.87,4223740000,-0.05,1.433,1.43,1.4403,1.4291,8387000,0.29
2011-04-05,0.71389595,0.8251196,0.61912332,0.76056251,9692,6.54,1332.03,1338.21,1330.03,1332.63,3852280000,0.05,1.4525,1.4356,1.4586,1.431,16636000,1.36
